customer_id,account_id,customer_type,first_name,last_name,organization_name,email,phone_number,address_line1,address_line2,city,state_province,postal_code,country,billing_preference,created_at,updated_at,department,title
75421d0d-567a-4b6c-8f57-83aa3fb9927c,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Mfaranwe,Quoralis,Example Enchanted Hospitality,mfaranwe.quoralis@example-enchanted-hospitality.com,789012,Mythical Crescent 12,Suite 45,Eldoria,Fantasy Province,78945,Enchanted Realm,both,2025-01-01 00:00:00,2025-01-01 00:00:00,Mythical Creatures,Senior Unicorn Wrangler
4f8ebfbb-a525-472a-8be4-32a97efcad03,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Cttharion,Dlstormrider,Example Fantasy Ecosystems,cttharion.dlstormrider@example-fantasy-ecosystems.com,789012,Mythical Unicorn Meadows,Suite 42,Eldergrove,Fantasy Highlands,90210,Elven Dominion,email,2025-01-01 00:00:00,2025-01-01 00:00:00,Mythical Creatures Division,Senior Unicorn Wrangler
0eb1c1a0-b14b-438c-9522-825f27669132,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Ktlysander,Bfphoenix,Example Fantasy Ecosystems,ktlysander.bfphoenix@example-fantasy-ecosystems.com,789012,Mythical Crescent 12,Enchanted Gardens,Eldoria,Fantasy Highlands,98765,Mythica,email,2025-01-01 00:00:00,2025-01-01 00:00:00,Magical Creature Management,Senior Unicorn Wrangler
4c9e0e55-d382-47cf-a593-c3efc05413f3,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Uytheon,Dustarwind,Example Mythical Enterprises,uytheon.dustarwind@example-mythical-enterprises.com,789012,Mythical Crescent 12,Enchanted Suite 45,Eldoria,Fantasy Realms,67890,Arcadia,email,2025-01-02 00:00:00,2025-01-02 00:00:00,Creature Logistics,Senior Unicorn Coordinator
0b0f839e-1ce0-4191-a000-25913b1d742a,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Yularia,Egwyndor,Example Mythical Expeditions,yularia.egwyndor@example-mythical-expeditions.com,789012,Mythical Unicorn Lane,Suite 123,Starfall Haven,Fantasy Province,MYTH123,Elvenwood,email,2025-01-03 00:00:00,2025-01-03 00:00:00,Unicorn Operations,Stable Master
6a3c5a0b-4eb5-4656-9ef0-774432175fcb,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Runalith,Caladwen,Example Mythical Creatures,runalith.caladwen@example-mythicalcreatures.com,789012,Mythical Crescent 45,Suite 12,Starfall Haven,Fantasy Highlands,98765,Eldoria,email,2025-01-05 00:00:00,2025-01-05 00:00:00,Creature Care,Senior Unicorn Trainer
6de60ecd-1b15-48f2-b6fd-7e4bb31b15ef,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Auraelia,Estrella,Example Mythical Transportation,auraelia.estrella@example-mythical-transportation.com,345678,Mythical Crescent 12,Suite 45,Eldergrove,Fantasy Realms,74583,Enchantia,email,2025-01-08 00:00:00,2025-01-08 00:00:00,Fleet Management,Stable Operations Manager
64b01dcf-cf43-483a-aa02-4385bf9e433d,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Hlarawyn,Qelarion,Example Mythical Logistics,hlarawyn.qelarion@example-mythical-logistics.com,789012,Mythical Rainbow Lane 45,Enchanted Stables,Eldergrove,Fantasy Highlands,M7H 4FG,Elven Dominion,email,2025-01-16 00:00:00,2025-01-16 00:00:00,Magical Creatures Transport,Fleet Operations Manager
67cc6f82-81d1-46d9-a962-ee9865553330,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Zylara,Jqfrost,Example Mythical Transportation,zylara.jqfrost@example-mythical-transportation.com,789012,Mythical Rainbow Avenue 123,Suite 789,Enchantia,Fantasy Highlands,FAE987,Elvenwood,both,2025-01-17 00:00:00,2025-01-17 00:00:00,Magical Creatures Division,Chief Unicorn Wrangler
3aa9b20f-c92d-404e-938c-5749a40243f6,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Bctheon,Nvstorm,Example Fantasy Logistics,bctheon.nvstorm@example-fantasy-logistics.com,789012,Mythical Crescent 12,Suite 45,Eldoria,Fantasy Province,98765,Arcadia,both,2025-01-19 00:00:00,2025-01-19 00:00:00,Magical Operations,Director of Mythical Transport
dbf263f8-1232-4108-ae4c-bbb215343056,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Msaria,Qrstorm,Example Fantasy Ecosystems,msaria.qrstorm@example-fantasy-ecosystems.com,123456,Mythical Pegasus Lane 78,Enchanted Forest Suite 4,Eldoria,Fantasy Highlands,90210,Arcadia,email,2025-01-19 00:00:00,2025-01-19 00:00:00,Mythical Operations,Senior Unicorn Wrangler
a46a32c5-639c-43d4-bc1f-49356f4f1151,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Lpluminara,Cnetherspark,Example Enchanted Logistics,lpluminara.cnetherspark@example-enchanted-logistics.com,345678,Mythical Unicorn Way 45,Suite 12,Starlight Haven,Fantasy Highlands,7890XZ,Elvenwood,email,2025-01-19 00:00:00,2025-01-19 00:00:00,Magical Transportation,Fleet Operations Manager
f36a5be1-103c-4e21-bda9-3c42bdbb841e,0330c2ef-f3be-4fc0-ae00-6edb9621e092,organization,Fblirion,Awdragonis,Example Enchanted Transport,fblirion.awdragonis@example-enchanted-transport.com,789012,Mythical Crescent 123,Suite 789,Starhaven,Fantasy Highlands,UVW456,Eldoria,email,2025-01-22 00:00:00,2025-01-22 00:00:00,Magical Creatures Division,Senior Unicorn Wrangler
