user_id,account_id,username,email,password_hash,first_name,last_name,role,phone_number,is_active,last_login_at,failed_login_attempts,locked_until,created_at,updated_at
a3ee154f-2f3b-4a8c-8e44-c2ee8620eae7,00000000-0000-0000-0000-000000000000,saas.admin,saas.admin@example-timely-unicorn.com,$2b$12$RvQxWzUyTsOpNmLkJhGfDeCbAvRtYhNjIuKoMpLlKjH,SaaS,Admin,saas_admin,"",t,,0,,2026-01-29 11:24:02.029161,2026-01-29 11:24:02.029196
b0c6fc13-7f44-4554-b38b-955593fac311,0330c2ef-f3be-4fc0-ae00-6edb9621e092,lyra.starwhisper,lyra.starwhisper@example-mythicalunicorns.com,$2b$12$RvQxWzUyTsOpNmLkJhGfDeCbAvRtYhNjIuKoMpLlKjH,Lyra,Starwhisper,rental_admin,"",t,,0,,2026-01-03 11:40:21.954206,2026-01-03 11:40:21.954206
bc9f79fa-f87a-4933-972a-e043838a52d0,0330c2ef-f3be-4fc0-ae00-6edb9621e092,stella.moonbeam,stella.moonbeam@example-mythicalunicorns.com,$2b$12$ZxYwVuTsRqPoNmLkJiHgFeDcBa987654,Stella,Moonbeam,staff,"",t,,0,,2026-01-03 11:40:21.954206,2026-01-03 11:40:21.954206
df26140d-34ec-4311-80da-7ced59a0fb0f,0330c2ef-f3be-4fc0-ae00-6edb9621e092,luna.starlight,luna.starlight@example-mythicalunicorns.com,$2b$12$aRcH4Iv3PqWzOyUeLmNfSuTvXrGyBzCd,Luna,Starlight,staff,"",t,,0,,2026-01-03 11:40:21.954206,2026-01-03 11:40:21.954206
9872ac02-c028-4f87-b4b9-a29db1270ca5,0330c2ef-f3be-4fc0-ae00-6edb9621e092,orion.moonshadow,orion.moonshadow@example-mythicalunicorns.com,$2b$12$RvQxWzUyTsOpNmLkJhGfDeCbAvRtYhNjIuKoMpLlKjH,Orion,Moonshadow,analyst,"",t,,0,,2026-01-29 11:24:02.068193,2026-01-29 11:24:02.068239
06a47294-2757-4094-aad4-d0aa86a34023,d667a552-4b25-4a45-9d86-31d901fe30c2,aria.skybloom,aria.skybloom@example-mythicunicorns.com,$2b$12$abcdefghijklmnopqrstuvwxyABCDEFG,Aria,Skybloom,rental_admin,"",t,,0,,2026-01-03 11:40:21.956129,2026-01-03 11:40:21.956129
8440d96a-bfbc-4a5f-870b-89f0f92cc7eb,d667a552-4b25-4a45-9d86-31d901fe30c2,sarah.williams,sarah.williams@example-mythicunicorns.com,$2b$12$abcdefghijklmnopqrstuvwxyABCDEFG,Sarah,Williams,staff,"",t,,0,,2026-01-03 11:40:21.956129,2026-01-03 11:40:21.956129
23d744ab-4c7a-4d44-b6c1-5ff789dc8911,d667a552-4b25-4a45-9d86-31d901fe30c2,michael.thompson,michael.thompson@example-mythicunicorns.com,$2b$12$vTmZq4t7wYzVubQWE5RFOuYvIc/L.DzBqXaVfN1,Michael,Thompson,staff,"",t,,0,,2026-01-03 11:40:21.956129,2026-01-03 11:40:21.956129
157980b2-4713-4053-b4b4-37478da5699f,d667a552-4b25-4a45-9d86-31d901fe30c2,david.brown,david.brown@example-mythicunicorns.com,$2b$12$qwertyuiopasdfghjklzxcvbnm123456,David,Brown,staff,"",t,,0,,2026-01-03 11:40:21.956129,2026-01-03 11:40:21.956129
772fe343-5532-4873-bb0f-769e79ddc1a5,d667a552-4b25-4a45-9d86-31d901fe30c2,elena.rodriguez,elena.rodriguez@example-mythicunicorns.com,$2b$12$RvQxWzUyTsOpNmLkJhGfDeCbAvRtYhNjIuKoMpLlKjH,Elena,Rodriguez,analyst,"",t,,0,,2026-01-29 11:24:02.097328,2026-01-29 11:24:02.097383
